IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
AP;Air One;Air One S.p.A. ;;55 cm x 35 cm x 25 cm;;20kg; Repas et boissons inclus dans le billet  ;NON;;39095311503;albastar.es;Italie;Milan - Linate (LIN) ;Chieti;1983;;;;;4.4 ;7;; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AQ;9 Air;Jiu Yuan Airlines Co., Ltd ;;;;;  ;NON;;400-105-1999;;;;;2014;;;;;1.9 ;5;; Boeing 737-800 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Aerolineas Argentinas;;10 kg;55 x 35 x 25 cm;;23 kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;800907747;aerolineas.com.ar;Argentine;Buenos Aires - Jorge Newbery (AEP) ;Buenos Aires;18019;;;;;13.7 ;44;Aerolíneas Plus ; Airbus A340-200 ;4; Airbus A340-300 ;7; Boeing 737-500 ;8; Boeing 737-700 ;17; Boeing 737-800 ;2; Boeing 747-400 ;1; McDonnell-Douglas MD-83 ;1; McDonnell-Douglas MD-88 ;2;;;;;;;;;;;;;;
AS;Alaska Airlines;;None;61cm x 43cm x 25cm  ;;25 kg;  ;OUI;;00 800 25275200;alaskaair.com;Etats Unis;Aéroport international de Los Angeles;Seattle;1932;;;;;9.6 ;139;; Boeing 737-400 ;29; Boeing 737-700 ;15; Boeing 737-800 ;61; Boeing 737-900 ;29; Canadair CRJ-700 ;5;;;;;;;;;;;;;;;;;;;;
AT;Royal Air Maroc;;10 kg;115 cm cumulés;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;;820821821;royalairmaroc.com;Maroc;Casablanca - Mohammed V (CMN) ;Casablanca;1957;;0,75;0,1;0,04;9;51;Safar Flyer ; Airbus A321-200 ;4; Boeing 737-300 ;1; Boeing 737-400 ;2; Boeing 737-500 ;5; Boeing 737-700 ;6; Boeing 737-800 ;28; Boeing 747-400 ;1; Boeing 767-300 ;4;;;;;;;;;;;;;;
AU;Austral Líneas Aéreas;Cielos del Sur S.A. ;;;;;  ;NON;;+54 11 4130 3625;aerolineas.com.ar;;;;1957;;;;;4.8 ;22;; Embraer ERJ-190 ;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AV;Avianca;Aerovías del Continente Americano ;10 kg;115 cm cumulés;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;18002842622;avianca.com;Colombie;Bogota (BOG) ;Bogota (Colombie);7279;;;;;7.1 ;70;Amigo ; Airbus A318-100 ;10; Airbus A319-100 ;11; Airbus A320-200 ;25; Airbus A330-200 ;8; Fokker F50 ;10; Fokker F100 ;6;;;;;;;;;;;;;;;;;;
AY;Finnair;Finnair Oyj ;10kg;56 x 45 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;OneWorld;+33 8 21 02 51 11;finnair.fr;Finlande;Helsinki (HEL) ;Vantaa;8706;;0,76;0,1;0,01;9.6 ;71;Finnair Plus ; Airbus A319-100 ;11; Airbus A320-200 ;12; Airbus A321-200 ;6; Airbus A330-300 ;8; Airbus A340-300 ;7; Boeing 757-200 ;4; Embraer ERJ-170 ;9; Embraer ERJ-190 ;12; McDonnell-Douglas MD-11 ;1;;;;;;;;;;;;
AZ;Alitalia;Alitalia Linee Aeree Italiane ;10kg;55 x 35 x 25 cm;70 x 42 x 40 cm;20 kg; ;OUI;Skyteam;33892655655;alitalia.com;Italie;Milan - Malpensa (MXP) ;Rome Fiumicino;17061;;0,81;0,08;0,01;9;129;MilleMiglia ; Airbus A319-100 ;18; Airbus A320-200 ;51; Airbus A321-100 ;23; Airbus A330-200 ;9; Boeing 767-300 ;4; Boeing 777-200 ;10; McDonnell-Douglas MD-82 ;14;;;;;;;;;;;;;;;;
B0;La Compagnie;Dreamjet SAS ;;;;;  ;NON;;33892230240;lacompagnie.com;;;;2014;;;;;18.8 ;2;; Boeing 757-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Belavia;;8 kg;50 x 40 x 20 cm;100 x 50 x 50 cm;30kg;  ;NON;;+33 1 44 88 92 00;belavia.by;Biélorussie;Aéroport national de Minsk (MSQ);Minsk;35129;;;;;16.3 ;20;; Boeing 737-300 ;7; Boeing 737-500 ;6; Canadair CRJ-100 ;1; Canadair CRJ-200 ;4; Embraer ERJ-175 ;2;;;;;;;;;;;;;;;;;;;;
B5;East African Express;East African Air Safari Express Ltd ;;;;;  ;NON;;+254 20 601013;fly-sax.com;;;;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B6;JetBlue;;7kgs;55cm x 36cm x 23cm ;;; Tous les services sont payants  ;OUI;;18014492525;JetBlue.com;;New York - John F. Kennedy (JFK) ;;36355;;;;;7.1 ;173;TrueBlue ; Airbus A320-200 ;122; Embraer ERJ-190 ;51;;;;;;;;;;;;;;;;;;;;;;;;;;
B7;UNI Airways;;;;;;  ;NON;;+886 2 2518 5166;uniair.com.tw;;;;1988;;;;;4.1 ;17;; ATR 42/72-ATR 72 ;13; Airbus A321-200 ;2; McDonnell Douglas MD-90 ;2;;;;;;;;;;;;;;;;;;;;;;;;
B8;Eritrean Airlines;;;;;;  ;NON;;291 1 124111;flyeritrea.com;;;;;;;;;29.3 ;2;; Boeing 737-300 ;1; Boeing 767-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
BA;British Airways;British Airways plc ;10kg;56 x 45 x 25 cm;90 x 75 x 43 cm;23 kg; Repas et boissons inclus dans le billet  ;OUI;OneWorld;825825400;britishairways.com;Royaume-Uni;Londres - Heathrow (LHR) ;Harmondsworth, Royaume Uni;8857;;0,7;0,1;0,04;12.9 ;232;Executive Club ; Airbus A318-100 ;2; Airbus A319-100 ;34; Airbus A320-200 ;41; Airbus A321-200 ;11; Boeing 737-400 ;18; Boeing 747-400 ;52; Boeing 767-300 ;21; Boeing 777-200 ;46; Boeing 777-300 ;6;;;;;;;;;;;;
BB;Seaborne Airlines;;;;;;  ;NON;;;seaborneairlines.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BC;Skymark Airlines;__________ ;;;;;  ;NON;;;skymark.co.jp;;Tokyo - Haneda (HND) ;;1996;;;;;3.1 ;32;; Airbus A330-300 ;2; Boeing 737-800 ;30;;;;;;;;;;;;;;;;;;;;;;;;;;
BD;BMI;;;55 cm x 40 cm x 23 cm;;20 kg; Repas inclus  ;NON;;8444930787;bayonairlines.com;Royaume-Uni;Londres - Heathrow (LHR) ;Castle Donington;17945;;;;;8.2 ;26;Diamond Club ; Airbus A319-100 ;10; Airbus A320-200 ;7; Airbus A321-200 ;7; Airbus A330-200 ;2;;;;;;;;;;;;;;;;;;;;;;
BE;flybe;Flybe Group PLC ;10 kg;55 x 40 x 23 cm;;20 kg; Tous les services sont payants  ;NON;;4,41393E+11;flybe.com;Royaume-Uni;Exeter (EXT) ;Aéroport Exeter;37455;;;;;5.8 ;68;Rewards4all ; De-Havilland-Canada DHC-8-400 ;48; Embraer ERJ-175 ;6; Embraer ERJ-195 ;14;;;;;;;;;;;;;;;;;;;;;;;;
BG;Biman Bangladesh Airlines;;;;;;  ;NON;;+880 2 8917400 29;biman_airlines.com;;Dhaka (DAC) ;;26302;;;;;8.9 ;8;; Airbus A310-300 ;2; Boeing 737-800 ;2; Boeing 777-300 ;4;;;;;;;;;;;;;;;;;;;;;;;;
BI;Royal Brunei Airlines;Royal Brunei Airlines Sdn Bhd ;7kgs;55cm x 40cm x 20cm ;;32kg;  ;NON;;33389701444;flyroyalbrunei.com;Brunei;Bandar Seri Begawan (BWN) ;Brunei;27351;;;;;8.2 ;12;; Airbus A319-100 ;2; Airbus A320-200 ;4; Boeing 777-200 ;3; Boeing 787-8 Dreamliner ;3;;;;;;;;;;;;;;;;;;;;;;
BJ;Nouvelair;;5 kg;55 x 40 x 25 cm;;20 kg, sauf vers la France 25 kg; Repas à la charge du client  ;NON;;21673520600;nouvelair.com;Tunisie;Monastir (MIR) ;Tunis;1989;;;;;12.1 ;14;; Airbus A320-200 ;12; Airbus A321-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
BK;Okay Airways;;;;;;  ;NON;;8,64001E+11;okair.net;;Tianjin (TSN) ;;38139;;;;;6.5 ;13;; Boeing 737-300 ;1; Boeing 737-800 ;12;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Jetstar Pacific Airlines;;;;;;  ;NON;;;jetstar.com;;Ho Chi Minh Ville (saigon) (SGN) ;;1991;;;;;8.7 ;7;; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BP;Air Botswana;;;;;;  ;NON;;01 39 21 59 37;airbotswana.co.bw;;;;;;;;;17.8 ;8;; ATR 42/72-ATR 42 ;3; ATR 42/72-ATR 72 ;1; British-Aerospace 146-100 ;2; British-Aerospace Avro RJ85 ;2;;;;;;;;;;;;;;;;;;;;;;
BR;EVA Airways;EVA Airways Corporation ;7 kg;56 x 36 x 23 cm;158 cm cumulés;20 kg;  ;NON;Star Alliance;+33 1 41439111;evaair.com;;;;32568;;;;;10.1 ;61;; Airbus A321-200 ;8; Airbus A330-200 ;11; Airbus A330-300 ;3; Boeing 747-400 ;15; Boeing 777-300 ;15; McDonnell-Douglas MD-11 ;4; McDonnell-Douglas MD-90 ;5;;;;;;;;;;;;;;;;
BT;Air Baltic;;8 kg;55 x 40 x 20 cm;100 x 80 x 50 cm;20 kg; Tous les services à bord sont payants  ;NON;;37167006006;airBaltic.com;Lettonie;Riga - Spilve (RIX) ;Riga;;;;;;17.1 ;33;BalticMiles ; Boeing 737-300 ;8; Boeing 737-500 ;6; Boeing 757-200 ;1; De-Havilland-Canada DHC-8-400 ;8; Fokker F50 ;10;;;;;;;;;;;;;;;;;;;;
BV;blu-express;;5 kg;55 x 40 x 20 cm;160 cm cumulés;20kg; Tous les services sont payants  ;NON;;+39 06.98956666;blue-panorama.com;Italie;Milan - Malpensa (MXP) ;Fiumicino;2005;;;;;16.4 ;3;; Boeing 737-300 ;2; Boeing 737-400 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Caribbean Airlines;;;114cm;;20kg;  ;NON;;18686257200;caribbean-airlines.com;France;Aéroport de Piarco;Tunapuna-Piarco;38987;;;;;9.7 ;19;; ATR 42/72-ATR 72 ;5; Boeing 737-800 ;11; Boeing 767-300 ;2; De-Havilland-Canada DHC-8-300 ;1;;;;;;;;;;;;;;;;;;;;;;
BX;Air Busan;;;;;;  ;NON;;+82 2 2669 3847;airbusan.com;;;;39333;;;;;13.9 ;16;; Airbus A320-200 ;4; Airbus A321-200 ;8; Boeing 737-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;
BY;thomsonfly;;10kgs;56cm x 45cm x 25cm;;; Tous les services sont payants  ;NON;;825000825;tui.fr;;Zlin (GTW) ;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;Ceiba Intercontinental;;;;;;  ;NON;;;;;;;;;;;;8.1 ;7;; ATR 42/72-ATR 42 ;2; ATR 42/72-ATR 72 ;2; Boeing 737-800 ;1; Boeing 767-300 ;1; Boeing 777-200 ;1;;;;;;;;;;;;;;;;;;;;
C8;Cargolux Italia;Cargolux Italia, S.p.A. ;;;;;  ;NON;;;;;;;39783;;;;;13.5 ;4;; Boeing 747-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA;Air China;;5 kg;55 x 40 x 20 cm;203 cm cumulés;32 kg; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;+800 86 100 999;airchina.fr;Chine;Pékin - Capitale (PEK) ;Pékin;32325;;0,67;0,13;0,01;7;278;PhoenixMiles ; Airbus A319-100 ;31; Airbus A320-200 ;21; Airbus A321-200 ;35; Airbus A330-200 ;24; Airbus A330-300 ;6; Airbus A340-300 ;6; Boeing 737-300 ;22; Boeing 737-700 ;19; Boeing 737-800 ;80; Boeing 747-400 ;9; Boeing 757 ;8; Boeing 777-200 ;10; Boeing 777-300 ;7;;;;
CC;Air Atlanta Icelandic;;;;;;  ;NON;;50422335050;cmairlines.com;;;;31453;;;;;19.1 ;17;; Airbus A330-200 ;1; Boeing 747-400 ;16;;;;;;;;;;;;;;;;;;;;;;;;;;
CD;Corendon Dutch Airlines;;5 kg;45 x 35 x 25 cm;;20 kg;  ;NON;;+31 23 75 10 600;www.corendon.com;;;;2011;;;;;11.4 ;2;; Boeing 737-800 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CE;Chalair Aviation;;;115 cm;;15 kg;  ;NON;;810400002;chalair.fr;France;Aéroport Caen - Carpiquet;Aéroport Caen - Carpiquet;1986;;;;;27.8 ;1;; ATR 42/72-ATR 42 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CG;Airlines PNG;Airlines of Papua New Guinea ;10kgs;54cm x 38cm x 23cm ;;;  ;NON;;6753213400;apng.com;;Port Moresby - Jackson Fld (POM) ;;1987;;;;;26.5 ;11;; De-Havilland-Canada DHC-8-100 ;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;China Airlines;China Airlines Ltd. ;7kgs;56cm x 36cm x 23cm;;23 Kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;01 42 86 64 09;china-airlines.com;Taïwan;Taïpeh (TPE) ;République de Chine (Taïwan);21900;;;;;9.1 ;71;Dynasty Flyer ; Airbus A330-300 ;22; Airbus A340-300 ;6; Boeing 737-800 ;10; Boeing 747-400 ;31;;;;;;;;;;;;;;;;;;;;;;
CJ;BA CityFlyer;CityFlyer Express Ltd. ;;40 cm x 30 cm x 15 cm;;23 kg;  ;NON;;;ba.com;Royaume-Uni;Aéroport de Londres City;Manchester;;;;;;8.1 ;20;; Embraer ERJ-170 ;6; Embraer ERJ-190 ;12; Saab 2000-Saab 2000 ;2;;;;;;;;;;;;;;;;;;;;;;;;
CL;Lufthansa CityLine;;;;;;  ;NON;;;lhcityline.com;;;;;;;;;3.3 ;61;; Canadair CRJ-700 ;16; Canadair CRJ-900 ;12; Embraer ERJ-190 ;9; Embraer ERJ-195 ;24;;;;;;;;;;;;;;;;;;;;;;
CM;Copa Airlines;;10kgs;55cm x 40cm x 20cm ;;;  ;NON;;58222005;copaair.com;;;;1944;;;;;5.5 ;77;; Boeing 737-700 ;17; Boeing 737-800 ;48; Embraer ERJ-190 ;12;;;;;;;;;;;;;;;;;;;;;;;;
CN;Grand China Air;;;;;;  ;NON;;;hnair.com;;;;39416;;;;;14.3 ;3;; Boeing 737-800 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO;Continental Airlines;;5 kg;55x40x20cm;;23 kg; Repas et boissons inclus dans le billet pour un vol de 4h minimum  ;NON;;357 24 00 00 01;cobalt.aero/fr;Etats Unis;Houston - George Bush Intercontinental (IAH) ;Willis Tower in Chicago;1934;40451;;;;;339;OnePass ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP;Compass Airlines;;;;;;  ;NON;;;;;;;38831;;;;;2;62;; Embraer ERJ-170 ;6; Embraer ERJ-175 ;56;;;;;;;;;;;;;;;;;;;;;;;;;;
CT;Alitalia Cityliner;Alitalia CityLiner S.p.A. ;;;;;  ;NON;;;;;;;40653;;;;;3.8 ;20;; Embraer ERJ-175 ;15; Embraer ERJ-190 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
CU;Cubana;;5 kg;115 cm cumulés;;23 kg;  ;NON;;;cubana.cu;Cuba;Aéroport International José Martí;La Havane;;;;;;5.2 ;10;; Antonov An-158 ;3; Ilyushin Il-96 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
CV;Cargolux Airlines International;;;;;;  ;NON;;;;;;;25628;;;;;7.8 ;24;; Boeing 747-400 ;11; Boeing 747-8 ;13;;;;;;;;;;;;;;;;;;;;;;;;;;
CX;Cathay Pacific Airways;Cathay Pacific Airways Limited ;7 kg;56 x 36 x 23 cm;203 cm cumulés;20 kg; Repas et boissons inclus dans le billet  ;OUI;OneWorld;3341437575;cathaypacific.fr;;Hong Kong (HKG) ;;17069;;;;;10.8 ;137;The Marco Polo Club ; Airbus A330-300 ;33; Airbus A340-300 ;11; Boeing 747-400 ;43; Boeing 747-8 ;5; Boeing 777-200 ;5; Boeing 777-300 ;40;;;;;;;;;;;;;;;;;;
CY;Cyprus Airways;;8 kg;55 x 40 x 23 cm;90 x 75 x 43 cm;23 kg; Repas et boissons inclus dans le billet  ;NON;;+357 24 00 00 53;cyprusairways.com;Chypre;Larnaca (LCA) ;Nicosie;17434;;;;;8.3 ;9;SunMiles ; Airbus A319-100 ;2; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ;China Southern Airlines;China Southern Airlines Co., Ltd. ;10kg;115 cm cumulés;158 cm cumulés;23 kg; Repas et boissons inclus  ;NON;Skyteam;+33 1 53679999;csair.com;Chine;Canton (Guangzhou) (CAN) ;Aksu en Chine;34759;;0,69;0,12;0,02;6.9 ;375;Sky Pearl Club ; Airbus A319-100 ;41; Airbus A320-200 ;80; Airbus A321-200 ;57; Airbus A330-200 ;15; Airbus A330-300 ;8; Airbus A380-800 ;3; Boeing 737-300 ;26; Boeing 737-700 ;35; Boeing 737-800 ;59; Boeing 747-400 ;2; Boeing 757 ;15; Boeing 777-200 ;16; Embraer ERJ-145 ;6; Embraer ERJ-190 ;12;;
D6;Interair South Africa;Inter-Aviation Services ;;;;;  ;NON;;;;;Johannesbourg - Tambo (JNB) ;;1993;;;;;33.9 ;4;; Boeing 737-200 ;3; Boeing 767-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
D7;AirAsia X;;;;;;  ;NON;;;airasia.com;;;;2007;;;;;6.8 ;20;; Airbus A330-200 ;1; Airbus A330-300 ;17; Airbus A340-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;
D8;Norwegian Air International;Norwegian Air International Limited ;;;;;  ;NON;;+47 2149 00 15;norwegian.no;;;;;;;;;4;24;; Boeing 737-800 ;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB;Brit Air;;12 kg;;;20 kg;  ;NON;;;;;Morlaix (MXN) ;;1973;;;;;6.1 ;41;Flying Blue ; Canadair CRJ-100 ;12; Canadair CRJ-1000 ;13; Canadair CRJ-700 ;14;;;;;;;;;;;;;;;;;;;;;;;;
DD;Nok Air;;;;;;  ;OUI;;;nokair.com;;Bangkok - Don Mueang (DMK) ;;38018;;;;;12.2 ;23;; ATR 42/72-ATR 72 ;4; Boeing 737-800 ;15;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;Condor;Condor Flugdienst ;8kgs;55cm x 40cm x 20cm ;;20 kg; Offert  Repas + boissons sans alcool ;NON;;33825742352;condor.com;Suisse;Francfort (FRA) ;Francfort sur Main;20444;;;;;14.5 ;38;; Airbus A320-200 ;12; Airbus A321-200 ;1; Boeing 757-300 ;13; Boeing 767-300 ;11;;;;;;;;;;;;;;;;;;;;;;
DG;Cebgo;;;;;;  ;NON;;-81058;cebupacificair.com;;Manille (MNL) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DJ;Virgin Blue;Virgin Blue Airlines Pty Ltd ;7kgs;48cm x 34cm x 23cm ;;; Tous les services sont payants  ;NON;;+61 2 8188 2133;airasia.com;;Brisbane - International (BNE) ;;36741;40666;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DL;Delta Airlines;Delta Air Lines, Inc. ;10kg;56 x 35 x 23 cm;157 cm cumulés;32kg; Repas et boissons inclus dans le billet  ;OUI;Skyteam;33892702609;delta.com;Etats Unis;Atlanta - Hartsfield-Jackson (ATL) ;Atlanta;1924;;;;;16.4 ;748;SkyMiles ; Airbus A319-100 ;57; Airbus A320-200 ;69; Airbus A330-200 ;11; Airbus A330-300 ;21; Boeing 737-700 ;10; Boeing 737-800 ;73; Boeing 747-400 ;15; Boeing 757-200 ;159; Boeing 757-300 ;16; Boeing 767-300 ;74; Boeing 767-400 ;21; Boeing 777-200 ;18; McDonnell-Douglas DC-9-50 ;20; McDonnell-Douglas MD-88 ;117; McDonnell-Douglas MD-90 ;42
DN;Sénégal Airlines;;;20x50x25cm;;30kg;  ;NON;;N° vert : 800 800 888;http://www.senegelairlines.aero;Sénégal;Dakar - Leopold Sedar Senghor (DKR) ;Dakar;39934;;;;;16;4;; Airbus A320-200 ;2; ATR 42/72-ATR 72 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
DP;Pobeda;;8kgs;56cm x 40cm x 20cm ;;;  ;NON;;74992152300;pobeda.aero;;;;41898;;;;;1.3 ;12;; Boeing 737-800 ;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT;TAAG - Linhas Aereas de Angola;;8kgs;55cm x 40cm x 20cm ;;;  ;NON;;2,44923E+11;taag.com;;Angola opère principalement depuis l'aéroport;;;;;;;12.5 ;13;; Boeing 737-200 ;3; Boeing 737-700 ;5; Boeing 777-200 ;3; Boeing 777-300 ;2;;;;;;;;;;;;;;;;;;;;;;
DV;SCAT Air;PLL Scat Aircompany ;;;;;  ;NON;;+7 (7252) 300 509, 211 827;;;Shimkent (CIT) ;;1997;;;;;17.4 ;18;; Boeing 737-300 ;4; Boeing 737-500 ;3; Boeing 757-200 ;4; Canadair CRJ-200 ;7;;;;;;;;;;;;;;;;;;;;;;
DW;Aero-Charter Ukraine;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DX;Danish Air Transport;;;;;;  ;NON;;+45 75 58 37 77;dat.dk;;;;;;;;;21.1 ;12;; ATR 42/72-ATR 42 ;5; ATR 42/72-ATR 72 ;4; McDonnell-Douglas MD-83 ;1;;;;;;;;;;;;;;;;;;;;;;;;
DY;Norwegian Air Shuttle;;10 kg;55 x 40 x 23 cm;250 x 112 x 79 cm;20 kg; Tous les services sont payants  ;OUI;;+47 2149 00 15;norwegian.no;Norvège;Oslo - Gardermoen (OSL) ;Fornebu;33970;;0,74;0,13;;5.7 ;64;My Reward ; Boeing 737-300 ;13; Boeing 737-800 ;51;;;;;;;;;;;;;;;;;;;;;;;;;;
E5;Air Arabia Egypt;;;;;;  ;NON;;;airarabia.com;;;;40065;;;;;8.7 ;1;; Airbus A320-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7;Estafeta Carga Aerea;;;;;;  ;NON;;;;;;;;;;;;27.9 ;6;; Boeing 737-300 ;4; Canadair CRJ-100 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
E9;Evelop Airlines;;;;;;  ;NON;;+34 971 44 80 82;evelop.com;;;;2013;;;;;3.9 ;3;; Airbus A320-200 ;1; Airbus A330-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
EB;Wamos Air;;;;;;  ;NON;;34902300747;wamosair.com;;;;37773;;;;;21.4 ;5;; Boeing 747-400 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EC;OpenSkies;BA European Ltd ;;56 x 45 x 25 cm;190 x 75 x 65 cm;23 kg;  ;NON;;0800 91 21 28;flyopenskies.com;;;;2008;;;;;23.7 ;;; Boeing 757-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ED;AirExplore;;;;;;  ;NON;;;;;;;;;;;;17.8 ;;; Boeing 737-400 ;2; Boeing 737-800 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
EF;Eznis Airways;;;;;;  ;NON;;+237 6 51 32 48 67;flycaminter.com;;;;38718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EI;Aer Lingus;Aer Lingus Group Plc ;10kg;55 x 40 x 24 cm;158 cm cumulés;23 kg; Repas et boissons inclus  ;OUI;;08 21 23 02 67;aerlingus.com;Irlande;Dublin (DUB) ;Aéroport de Dublin;13292;;;;;6.6 ;46;Gold Circle Club ; Airbus A319-100 ;2; Airbus A320-200 ;33; Airbus A321-200 ;3; Airbus A330-200 ;3; Airbus A330-300 ;4;;;;;;;;;;;;;;;;;;;;
EK;Emirates;Emirates Airline ;10kg;55 x 38 x 20 cm;;30 kg; Repas et boissons inclus dans le billet  ;OUI;;+33 1 57 32 49 99;emirates.fr;;Dubaï (DXB) ;;31345;;0,75;0,11;0,01;6.5 ;174;Skywards ; Airbus A330-200 ;26; Airbus A340-300 ;8; Airbus A340-500 ;10; Airbus A380-800 ;21; Boeing 747-400 ;5; Boeing 777-200 ;23; Boeing 777-300 ;81;;;;;;;;;;;;;;;;
EL;Ellinair;;;;;;  ;NON;;3,0231E+11;http://en.ellinair.com/;;;;41306;;;;;19.7 ;;; Airbus A319-100 ;1; Boeing 737-300 ;2; British Aerospace Avro RJ85 ;2;;;;;;;;;;;;;;;;;;;;;;;;
EN;Air Dolomiti;;;;;;  ;NON;;3,90453E+11;airdolomiti.it;;Vérone (VRN) ;;32872;;;;;3.3 ;10;; Embraer ERJ-195 ;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EP;Iran Aseman Airlines;;;;;;  ;NON;;;iaa.ir;;;;;;;;;23.8 ;32;; ATR 42/72-ATR 72 ;6; Airbus A320-200 ;3; Airbus A340-300 ;1; Boeing 727-200 ;3; Boeing 737-400 ;1; Fokker F100 ;18;;;;;;;;;;;;;;;;;;
EQ;TAME;;;h=55cm l=35cm p=25cm;;23 kg;  ;NON;;18004302471;tame.com.ec;Equateur et Galapagos;Quito (UIO) ;Quito;1962;;;;;10.7 ;20;; Airbus A319-100 ;4; Airbus A320-200 ;6; Airbus A330-200 ;1; ATR 42/72-ATR 42 ;3; Embraer ERJ-170 ;2; Embraer ERJ-190 ;4;;;;;;;;;;;;;;;;;;
ET;Ethiopian Airlines;;7 kg;115 cm cumulés;158 cm cumulés;23 kg; ;NON;Star Alliance;800901031;ethiopianairlines.com;Ethiopie;Addis Abeba (ADD) ;Addis Ababa, Ethiopia;16801;;;;;7.9 ;66;; Boeing 737-400 ;1; Boeing 737-700 ;7; Boeing 737-800 ;9; Boeing 757-200 ;6; Boeing 767-300 ;12; Boeing 777-200 ;8; Boeing 777-300 ;2; Boeing 787-8 Dreamliner ;5; De-Havilland-Canada DHC-8-400 ;13; McDonnell-Douglas MD-11 ;2;;;;;;;;;;
EU;Chengdu Airlines;;;;;;  ;NON;;;;;;;40179;;;;;5;;; Airbus A319-100 ;3; Airbus A320-200 ;18; COMAC ARJ21-700 ;1;;;;;;;;;;;;;;;;;;;;;;;;
EV;ExpressJet Airlines;ExpressJet Airlines, Inc. ;;;;;  ;NON;;;;;;;1996;;;;;10.5 ;;; Canadair CRJ-100 ;1; Canadair CRJ-200 ;73; Canadair CRJ-700 ;41; Canadair CRJ-900 ;28; Embraer ERJ-135 ;5; Embraer ERJ-145 ;194;;;;;;;;;;;;;;;;;;
EW;Eurowings;Eurowings Luftverkehrs AG ;8kgs;57cm x 54cm x 15cm ;;;  ;NON;;+49 231 92 45 0;eurowings.com;;;;34335;;;;;5.1 ;;; Airbus A320-200 ;7; Airbus A330-200 ;2; Canadair CRJ-900 ;16;;;;;;;;;;;;;;;;;;;;;;;;
